id_str,created_at,text
1069890395318808577,2018-12-04 09:45:22,"@anthonypjshaw @dbader_org I actually completely forgot about this.Dan, I'm going to hunt down a hard copy right n… https://t.co/KILsLj6y7T"
1069564811049000963,2018-12-03 12:11:37,RT @MichaelStrefel2: Day 40: #100DaysOfCode progress: today I worked on JSON in Python / D1 (lectures) https://t.co/24ACsAUKtL Who knew tha…
1069564795945279488,2018-12-03 12:11:33,@MichaelStrefel2 @pybites @TalkPython Haha! This part of the course may secretly have been an excuse to squeeze som… https://t.co/p7yaZQMvka
1067704240720629760,2018-11-28 08:58:22,@EndlessTrax @brianokken I heard the same thing Ricky!Brian don't forget to get an extra room key for us!
1067393659090288640,2018-11-27 12:24:14,@treyhunner Likewise my friend!(Is there a datetime module that'll speed time up? May is too far away!)
1067392974718304256,2018-11-27 12:21:31,RT @jmwatt3: Submitted my first ever conference proposal ever. It was a group effort with @bbelderbos and @_juliansequeira. Even if it does…
1067392859005902848,2018-11-27 12:21:03,@jmwatt3 @bbelderbos Definitely mate! What an effort! And all planned across 3x different timezones.Very proud of us. We make a great team!
1067392471187939333,2018-11-27 12:19:30,@mariatta Haha! Ahem! Perhaps...Busted. Thanks @treyhunner!
1067384825781223425,2018-11-27 11:49:08,RT @pybites: PyBites can help you acquire #Python top talent!Enterprise Customers can now use our https://t.co/UYcrpuWnxX platform to ass…
1067124465648132096,2018-11-26 18:34:33,RT @treyhunner: Looking for #Python Cyber Monday sales? 💸 Or have one to share?I wrote a blog post on today's Python-relevant sales I'm a…
1067124379320864768,2018-11-26 18:34:12,"@treyhunner This is such a great idea!Yes, thanks for including us too Trey, very kind of you mate!Hugs all round in May!"
1067034534024118274,2018-11-26 12:37:12,RT @pybites: Final call: until the end of this Cyber Monday (AoE) we’re offering you https://t.co/UYcrpuWnxX Premium Subscriptions for a ma…
1066984001812914177,2018-11-26 09:16:24,RT @AJ_AIT: @TalkPython Big thanks to the team. The #100DaysOfCode in Python is fantastic. @mkennedy @bbelderbos @_juliansequeira
1066964904941219840,2018-11-26 08:00:31,@AJ_AIT @TalkPython @mkennedy @bbelderbos So glad you think so @AJ_AIT! Push and make it to the end mate. That'll really make my day!
1066949951907713025,2018-11-26 07:01:06,"RT @TalkPython: Wow, the response to the @talkpython #blackfriday sale has been really amazing. Thank you to everyone to bought a course an…"
1066949707723755520,2018-11-26 07:00:07,"@jmwatt3 @treyhunner @bbelderbos Soon my pretty, soon."
1066763436992823296,2018-11-25 18:39:57,RT @pybites: Just over 1 day left on our first ever Black Friday Sale! Get 40-50% off our Premium Subscription to https://t.co/IZeNwx6xDS w…
1066763223263698944,2018-11-25 18:39:06,"RT @bbelderbos: Holiday time == coding time, here is an exercise to code some more #Python over the weekend: https://t.co/nZT2XZJYli"
1065942719703408640,2018-11-23 12:18:43,@thelynchpinau @AutomationPanda Idea! A Zelda night where we play through OoT all evening until sun up!
1065927819153174528,2018-11-23 11:19:30,@a1ex_ve9an @pybites Great work mate! Keep it up!!
1065927675125018624,2018-11-23 11:18:56,RT @pybites: BLACK FRIDAY SALE!From now through Cyber Monday 2018 we're offering you https://t.co/UYcrpuWnxX  Premium Subscriptions for a…
1065927604555763714,2018-11-23 11:18:39,RT @pybites: New PyBites article is up:How to Test Your #Django App with #Selenium and #pytest https://t.co/h16Agxr01C#Python #testing
1065681873416859648,2018-11-22 19:02:12,@AutomationPanda Happy Thanksgiving brother!
1065681759868600320,2018-11-22 19:01:45,@thelynchpinau Still love this game!@AutomationPanda!
1065516567968894976,2018-11-22 08:05:20,@jmwatt3 @pycharm @TalkPython @mkennedy Haha!! It took me SO long to figure this out man!
1064808293300764672,2018-11-20 09:10:54,RT @Vees_Dad: Another @TalkPython episode for the Best Of.. cart. https://t.co/0OKTDblRb7 Wonderful conversation with https://t.co/BfSN32oU…
1063948758482735104,2018-11-18 00:15:25,@mkennedy This is pretty much us right now Mike haha! I needed this!
1063948251332657154,2018-11-18 00:13:24,RT @mkennedy: Hope this resonates with some of you out there looking to level up. It's a good one to remember from time to time. https://t.…
1063942899358851073,2018-11-17 23:52:08,"RT @tryexceptpass: Just posted a new article on the site. A continuation of the Practicality Beats Purity series, this one is about using a…"
1063940451961458688,2018-11-17 23:42:25,A nice little brain dump on Frameworks. I really enjoy reading your stuff Andy! -  Frameworks: All-in-One or Piece-… https://t.co/4ThlUavutT
1063550926890295296,2018-11-16 21:54:35,@AutomationPanda @pycon @bbelderbos @jmwatt3 @brianokken @gnboorse Excellent man!! Can't wait!
1062050497312391168,2018-11-12 18:32:25,RT @bbelderbos: How much #python coding have you done lately? Code on @pybites https://t.co/ILXzDTTnUz and you can keep track on your dashb…
1061911798268362753,2018-11-12 09:21:16,@Donald_Codes @pybites The perfect feedback! Thanks Donald!!!
1061911626478043137,2018-11-12 09:20:35,This is why I'm so proud of PyBites! https://t.co/o5IAc0yMjy
1061517797115613186,2018-11-11 07:15:39,@AutomationPanda @pyconca You're on fire Andy! Keep it up mate!
1060499160703492098,2018-11-08 11:47:57,RT @bbelderbos: Very excited to learn more about #softwaredevelopment reading the @aosabook: https://t.co/L6XK5c579g... and #datascience…
1060426811455066112,2018-11-08 07:00:28,@mkennedy @realpython Oh man Mike you're a machine! Look at you go!This is definitely conversation for our next round of beers!
1060426301918523392,2018-11-08 06:58:26,@thelynchpinau @pybites Barely mate!!! We have lots to catch up on my friend!
1060062894191046657,2018-11-07 06:54:23,@realpython The jury has spoken @mkennedy! 😂
1060062194870607873,2018-11-07 06:51:36,@thelynchpinau @pybites Nice one Pete! Thanks mate!
1060061804011745280,2018-11-07 06:50:03,RT @thelynchpinau: Do you like reading? Do you like data? And do you also like free stuff?Then this resource is for you. @pybites https…
1058846845185646593,2018-11-03 22:22:14,"How good is this, an interview with old mate @mkennedy! Go read now!(I think we need a photo of you in your old mo… https://t.co/slLZlbc9Zq"
1056325989343539201,2018-10-27 23:25:16,"RT @pybites: One of our PyBites community members, Erik, successfully started a North #Austin #Python Meetup this month! Can't argue with t…"
1055541757142659072,2018-10-25 19:29:00,@realpython @bbelderbos 😂 every time!
1055402374712291328,2018-10-25 10:15:09,RT @MichaelStrefel2: Day 2: #100DaysOfCode progress: today I worked on Playing with Datetimes / D2 (practice) https://t.co/24ACsAUKtL #Pyth…
1055402356076998656,2018-10-25 10:15:04,@MichaelStrefel2 @pybites @TalkPython Stoked to hear it Michael! Fingers crossed my accent isn't hindering the lear… https://t.co/DJBTupOyXS
1055001362868723712,2018-10-24 07:41:40,@Blockchain is in demand! https://t.co/WoVVmSplEO via @Hustle_Says
1054080275691360257,2018-10-21 18:41:36,RT @realpython: 🐍Python Development Tools 📰— On this page you will find articles that will help you get started on the road to mastering th…
1053941577565954048,2018-10-21 09:30:28,"@thelynchpinau @jmwatt3 Haha! Sorry Pete!Pro tip. To get the most out of it, I'm listening to it on #Audible but a… https://t.co/5eT3wUebKo"
