id_str,created_at,text
1070604653103120384,2018-12-06 09:03:34,RT @ethetism: A perusal of @realpython’s “The Ultimate Guide to Data Classes” has proven to be quite a worthwhile means for getting up to s…
1070604341491523584,2018-12-06 09:02:20,@adam_harmasz @pybites nice
1070604282058207232,2018-12-06 09:02:06,RT @adam_harmasz: I achieved the PyBites Ninja White Belt by completing Code Challenges at https://t.co/9XqGH6PLtN - on behalf of @pybites…
1070604263984893952,2018-12-06 09:02:02,RT @chaconyelitza11: I just cracked Bite of Py 1. Sum n numbers - on behalf of @pybites I Challenge You!  https://t.co/h4wd2uE2d6 #Python #…
1070604237476904960,2018-12-06 09:01:55,"RT @dtizzlenizzle: Day 66: #100DaysOfCode progress: today I worked on catching up on some talk python trainings, looking at feedparser to p…"
1070604221001728000,2018-12-06 09:01:51,RT @chaconyelitza11: I just cracked Bite of Py 7. Parsing dates from logs - on behalf of @pybites I Challenge You!  https://t.co/dGzrUO1G8R…
1070604192811757569,2018-12-06 09:01:45,RT @chaconyelitza11: I just cracked Bite of Py 67. Working with datetimes - on behalf of @pybites I Challenge You!  https://t.co/niE6gb21w2…
1070602379471581184,2018-12-06 08:54:32,"Enriching Your Python Classes With Dunder (Magic, Special) Methods https://t.co/N2ibge6K28 #Python"
1070574321637064704,2018-12-06 07:03:03,Free @PacktPub ebook of the day: Go Systems Programming - https://t.co/plr4ib8Vnc
1070308485173272576,2018-12-05 13:26:42,@clamytoe @hacktoberfest @digitalocean very nice!
1070308420438380549,2018-12-05 13:26:27,RT @clamytoe: Got my package today! Thanks guys! https://t.co/4vqTpN6t1S
1070270834579857410,2018-12-05 10:57:06,RT @tommyenglert: I just cracked Bite of Py 9. Palindromes - on behalf of @pybites I Challenge You!  https://t.co/N8dkG6Wyms #Python #CodeC…
1070270820554104833,2018-12-05 10:57:02,"RT @alexdesiqueira: Day 6: my #100daysofcode progress: read more about the #python collections module, and also learned how to trick the im…"
1070270783417659393,2018-12-05 10:56:54,RT @zkancs: I just cracked Bite of Py 1. Sum n numbers - on behalf of @pybites I Challenge You!  https://t.co/3xTclQVCot #Python #CodeChall…
1070270759656980480,2018-12-05 10:56:48,"RT @jasonfried: Got a couple hours? @tferriss and I talk business, not having goals, getting in trouble when we were younger, our new book…"
1070270743525642240,2018-12-05 10:56:44,RT @anthonypjshaw: Finally reading @dbader_org’s Python Tricks book. Will recommend for anyone wanting to go from beginner to intermediate.…
1070270727390199808,2018-12-05 10:56:40,"RT @brianokken: What happens when 100% test code coverage just isn't enough? Also awesome Python applications, glom, and version number sch…"
1070270708234756096,2018-12-05 10:56:36,RT @tommyenglert: I just cracked Bite of Py 10. Practice exceptions - on behalf of @pybites I Challenge You!  https://t.co/wEDZ88GgWj #Pyth…
1070270390327484417,2018-12-05 10:55:20,RT @a1ex_ve9an: Day 72: #100DaysOfCode progress: https://t.co/nohcrvcrpT #Python @pybites @talkpythonreceived orange ninja belthttps://t.…
1070270303471890433,2018-12-05 10:54:59,RT @pybites: I just cracked Bite of Py 56. Add a command line interface to our BMI calculator - on behalf of @pybites I Challenge You!  htt…
1070211934283124736,2018-12-05 07:03:03,Free @PacktPub ebook of the day: Mastering Docker - Second Edition - https://t.co/plr4ib8Vnc
1069905036313006081,2018-12-04 10:43:33,RT @tommyenglert: I just cracked Bite of Py 8. Rotate string characters - on behalf of @pybites I Challenge You!  https://t.co/ZXvxFV3kTd #…
1069849547285753857,2018-12-04 07:03:03,Free @PacktPub ebook of the day: Architecting Modern Java EE Applications - https://t.co/plr4ib8Vnc
1069608974784311298,2018-12-03 15:07:06,"@zkancs @pybites thanks, glad you like it"
1069535915721269249,2018-12-03 10:16:47,"@JohnGla70718439 @pybites Great to see more PyBites ninjas, keep calm and code in Python!"
1069535889389424641,2018-12-03 10:16:41,"@zkancs @pybites Great to see more PyBites ninjas, keep calm and code in Python!"
1069535830086205440,2018-12-03 10:16:27,RT @tommyenglert: I just cracked Bite of Py 7. Parsing dates from logs - on behalf of @pybites I Challenge You!  https://t.co/u559mri0sz #P…
1069535813137063937,2018-12-03 10:16:23,RT @zkancs: I achieved the PyBites Ninja White Belt by completing Code Challenges at https://t.co/435P9EydTw - on behalf of @pybites I Chal…
1069535798582812672,2018-12-03 10:16:20,RT @JohnGla70718439: #100DaysOfCode Day 9 - I achieved the PyBites Ninja White Belt by completing Code Challenges at https://t.co/reZ2kTVzO…
1069535756862058496,2018-12-03 10:16:10,RT @overfork1: I just cracked Bite of Py 67. Working with datetimes - on behalf of @pybites I Challenge You!  https://t.co/joqq2OblxE #Pyth…
1069487159571173376,2018-12-03 07:03:03,Free @PacktPub ebook of the day: Pandas Cookbook - https://t.co/plr4ib8Vnc
1069246779793776640,2018-12-02 15:07:52,RT @raymondh: #Python oddity.  The data type returned by statistics.mean() depends on the values (not just their types).  I wonder how #typ…
1069246065793277952,2018-12-02 15:05:02,RT @KiSong10: Day 7: #100DaysOfCode progress: still on Collections module / D2 (PCC13). I got 90% of it figured out--just need to pick the…
1069246029743210496,2018-12-02 15:04:53,"RT @dtizzlenizzle: Day 63: #100DaysOfCode progress: today I played around more with music21, and submitted a few issues  #Python @pybites @…"
1069246010365538305,2018-12-02 15:04:49,RT @JohnGla70718439: I just cracked Bite of Py 101. f-strings and a simple if/else - on behalf of @pybites I Challenge You!  https://t.co/n…
1069245988991377408,2018-12-02 15:04:44,RT @zkancs: I just cracked Bite of Py 21. Query a nested data structure - on behalf of @pybites I Challenge You!  https://t.co/dwjJszWti4 #…
1069245972146995200,2018-12-02 15:04:40,"RT @python_tip: #selfpromoPetr, one of @python_tip authors, is looking for a job. If you are hiring Data Analyst / Data Scientist / Statis…"
1069245955923427331,2018-12-02 15:04:36,RT @nehal_26: Day 68: #100DaysOfCode progress: today I worked on Copy and Paste with Pyperclip / D2 (practice) https://t.co/A0TSeROQ6q #Pyt…
1069245940681326592,2018-12-02 15:04:32,RT @JohnGla70718439: I just cracked Bite of Py 104. Split and join - on behalf of @pybites I Challenge You!  https://t.co/1fw8rW6Hb5 #Pytho…
