id_str,created_at,text
1070601452509372416,2018-12-06 08:50:51,RT @chaconyelitza11: I just cracked Bite of Py 7. Parsing dates from logs - on behalf of @pybites I Challenge You!  https://t.co/dGzrUO1G8R…
1070601434863939585,2018-12-06 08:50:47,RT @chaconyelitza11: I just cracked Bite of Py 67. Working with datetimes - on behalf of @pybites I Challenge You!  https://t.co/niE6gb21w2…
1070350819462144000,2018-12-05 16:14:56,RT @chaconyelitza11: I just cracked Bite of Py 1. Sum n numbers - on behalf of @pybites I Challenge You!  https://t.co/h4wd2uE2d6 #Python #…
1070332205841424385,2018-12-05 15:00:58,@adam_harmasz congrats!
1070332160446513152,2018-12-05 15:00:47,RT @adam_harmasz: I achieved the PyBites Ninja White Belt by completing Code Challenges at https://t.co/9XqGH6PLtN - on behalf of @pybites…
1070267745382608896,2018-12-05 10:44:49,I just cracked Bite of Py 56. Add a command line interface to our BMI calculator - on behalf of @pybites I Challeng… https://t.co/LocoodWN7e
1070210827318423552,2018-12-05 06:58:39,@a1ex_ve9an @TalkPython Congrats! https://t.co/mrIhIo7Qb0
1070210572376031232,2018-12-05 06:57:38,RT @tommyenglert: I just cracked Bite of Py 10. Practice exceptions - on behalf of @pybites I Challenge You!  https://t.co/wEDZ88GgWj #Pyth…
1070210548485292032,2018-12-05 06:57:32,RT @KiSong10: Day 10: #100DaysOfCode progress: today I made some progress on Testing your code with pytest / D1 (lectures). Used conda to s…
1070075848928178176,2018-12-04 22:02:18,RT @a1ex_ve9an: Day 72: #100DaysOfCode progress: https://t.co/nohcrvcrpT #Python @pybites @talkpythonreceived orange ninja belthttps://t.…
1069870031792689152,2018-12-04 08:24:27,"RT @brianokken: What happens when 100% test code coverage just isn't enough? Also awesome Python applications, glom, and version number sch…"
1069827889217048576,2018-12-04 05:36:59,RT @anthonypjshaw: Finally reading @dbader_org’s Python Tricks book. Will recommend for anyone wanting to go from beginner to intermediate.…
1069827805964328961,2018-12-04 05:36:40,"RT @jasonfried: Got a couple hours? @tferriss and I talk business, not having goals, getting in trouble when we were younger, our new book…"
1069827557460201472,2018-12-04 05:35:40,RT @tommyenglert: I just cracked Bite of Py 9. Palindromes - on behalf of @pybites I Challenge You!  https://t.co/N8dkG6Wyms #Python #CodeC…
1069827533384892416,2018-12-04 05:35:35,RT @zkancs: I just cracked Bite of Py 1. Sum n numbers - on behalf of @pybites I Challenge You!  https://t.co/3xTclQVCot #Python #CodeChall…
1069827494184976384,2018-12-04 05:35:25,"RT @alexdesiqueira: Day 6: my #100daysofcode progress: read more about the #python collections module, and also learned how to trick the im…"
1069827422319722496,2018-12-04 05:35:08,RT @tommyenglert: I just cracked Bite of Py 8. Rotate string characters - on behalf of @pybites I Challenge You!  https://t.co/ZXvxFV3kTd #…
1069533121878605824,2018-12-03 10:05:41,@JohnGla70718439 great job!
1069533098000433152,2018-12-03 10:05:36,RT @JohnGla70718439: #100DaysOfCode Day 9 - I achieved the PyBites Ninja White Belt by completing Code Challenges at https://t.co/reZ2kTVzO…
1069533085623074816,2018-12-03 10:05:33,RT @overfork1: I just cracked Bite of Py 67. Working with datetimes - on behalf of @pybites I Challenge You!  https://t.co/joqq2OblxE #Pyth…
1069533064622194689,2018-12-03 10:05:28,RT @zkancs: I achieved the PyBites Ninja White Belt by completing Code Challenges at https://t.co/435P9EydTw - on behalf of @pybites I Chal…
1069533056829202432,2018-12-03 10:05:26,@zkancs congrats!
1069533021982924801,2018-12-03 10:05:18,RT @tommyenglert: I just cracked Bite of Py 7. Parsing dates from logs - on behalf of @pybites I Challenge You!  https://t.co/u559mri0sz #P…
1069245141330944000,2018-12-02 15:01:21,"Supplement your #Python weekend reading with our new PyBites Twitter Digest - Issue 37, 2018 https://t.co/UQZDCn5VI5"
1069244732348555264,2018-12-02 14:59:44,RT @fisheranalytics: Day 83: #100DaysOfCode progress: today I worked on Data visualization with Plotly / D2 (practice) https://t.co/bNEzYCe…
1069244713650262016,2018-12-02 14:59:39,RT @JohnGla70718439: #100daysofcode Day 8 - I just cracked Bite of Py 21. Query a nested data structure - on behalf of @pybites I Challenge…
1069244688069218304,2018-12-02 14:59:33,RT @MichaelStrefel2: Day 39: #100DaysOfCode progress: today I worked on Using CSV data / D3 (more coding) https://t.co/24ACsAUKtL Now I kno…
1069095483954597888,2018-12-02 05:06:40,RT @JohnGla70718439: I just cracked Bite of Py 101. f-strings and a simple if/else - on behalf of @pybites I Challenge You!  https://t.co/n…
1069095392397152256,2018-12-02 05:06:19,RT @JohnGla70718439: I just cracked Bite of Py 104. Split and join - on behalf of @pybites I Challenge You!  https://t.co/1fw8rW6Hb5 #Pytho…
1069095218853617664,2018-12-02 05:05:37,RT @zkancs: I just cracked Bite of Py 21. Query a nested data structure - on behalf of @pybites I Challenge You!  https://t.co/dwjJszWti4 #…
1068943939464560640,2018-12-01 19:04:29,RT @MDomerofski: Day 15: #100DaysOfCode progress: today I worked on Text-based games (and classes) / D3 (more coding) https://t.co/gxgzm8v3…
1068943886742102016,2018-12-01 19:04:17,"RT @python_tip: #selfpromoPetr, one of @python_tip authors, is looking for a job. If you are hiring Data Analyst / Data Scientist / Statis…"
1068846835991744513,2018-12-01 12:38:38,RT @nehal_26: Day 68: #100DaysOfCode progress: today I worked on Copy and Paste with Pyperclip / D2 (practice) https://t.co/A0TSeROQ6q #Pyt…
1068779577642749952,2018-12-01 08:11:22,@FerroRodolfo @pythondaymx Que crack!
1068779222934712321,2018-12-01 08:09:58,RT @neex_io: Spending breaks at work solving PyBites https://t.co/Wt1hmPcE3g #Python #CodeChallenges #100daysOfSomething
1068779154919878656,2018-12-01 08:09:42,RT @KiSong10: Day 7: #100DaysOfCode progress: still on Collections module / D2 (PCC13). I got 90% of it figured out--just need to pick the…
1068779145541361664,2018-12-01 08:09:39,"RT @dtizzlenizzle: Day 63: #100DaysOfCode progress: today I played around more with music21, and submitted a few issues  #Python @pybites @…"
